Listing ID,Host ID,Number of Listings Per Host,City,Latitude,Longitude,Listing Type,Price,Minimum Nights,Availability,Number of Reviews
71248,363834,2,New York City,40.71659,-73.98945,Entire home/apt,115,25,80,48
71366,364955,1,New York City,40.72966,-74.00243,Entire home/apt,200,30,330,42
71384,365153,1,New York City,40.72898,-73.95552,Entire home/apt,229,1,250,50
71812,369015,2,New York City,40.87207,-73.90193,Entire home/apt,80,25,286,8
74073,211877,1,New York City,40.71113,-73.96054,Entire home/apt,187,30,44,90
74240,389924,1,New York City,40.71903,-73.9597,Entire home/apt,186,1,265,70
74333,331328,3,New York City,40.80892,-73.93985,Entire home/apt,63,28,317,36
74680,265109,1,New York City,40.77635,-73.93426,Entire home/apt,119,2,251,226
74821,394640,1,New York City,40.80648,-73.9487,Entire home/apt,149,5,90,47
75635,401696,1,New York City,40.71876,-73.98394,Entire home/apt,150,3,311,321
76761,118971,2,New York City,40.66552,-73.99019,Entire home/apt,142,30,73,434
77765,417504,27,New York City,40.73777,-73.95366,Hotel room,179,3,238,38
80684,417504,27,New York City,40.73756,-73.9535,Hotel room,349,3,238,8
80700,417504,27,New York City,40.73777,-73.95366,Private room,349,3,238,7
81739,417504,27,New York City,40.73777,-73.95366,Private room,249,3,238,2
82550,448312,2,New York City,40.69441,-73.99771,Entire home/apt,200,5,321,94
82638,449787,1,New York City,40.72399,-73.98374,Entire home/apt,125,5,355,265
82928,451545,1,New York City,40.6824,-73.94615,Entire home/apt,150,3,351,71
83391,454497,1,New York City,40.72118,-74.01191,Entire home/apt,240,1,365,9
83446,454756,1,New York City,40.68819,-73.97258,Entire home/apt,100,30,35,6
83847,410094,1,New York City,40.72451,-73.98094,Entire home/apt,180,14,76,44
86215,327900,2,New York City,40.71965,-73.98766,Entire home/apt,216,2,180,166
87279,478136,1,New York City,40.80783,-73.93878,Private room,70,1,364,136
89205,257306,1,New York City,40.72636,-73.98334,Entire home/apt,124,28,262,40
89427,116599,3,New York City,40.68613,-73.96536,Entire home/apt,650,5,364,0
89621,209460,2,New York City,40.68048,-73.94911,Entire home/apt,150,2,365,238
93313,25183,2,New York City,40.68314,-73.93963,Entire home/apt,120,2,348,101
94035,35375,2,New York City,40.75961,-73.91117,Private room,76,1,365,51
94209,503800,1,New York City,40.67473,-73.94494,Entire home/apt,100,90,364,0
94477,478395,1,New York City,40.69305,-73.93185,Entire home/apt,127,2,8,400
94783,473113,1,New York City,40.67174,-73.95663,Entire home/apt,125,6,365,112
95747,509341,1,New York City,40.71055,-73.95098,Entire home/apt,140,7,79,13
95883,509918,1,New York City,40.69465,-73.95458,Entire home/apt,200,5,250,5
96471,116599,3,New York City,40.68513,-73.96648,Private room,171,4,364,13
98663,520279,1,New York City,40.74893,-73.99544,Entire home/apt,130,30,192,19
99085,522164,1,New York City,40.68795,-73.97332,Entire home/apt,123,30,247,17
99662,524730,2,New York City,40.71841,-73.99019,Entire home/apt,135,6,353,28
100002,523218,1,New York City,40.85295,-73.93361,Private room,49,2,321,151
100184,526653,1,New York City,40.72413,-73.76133,Private room,50,1,88,47
100186,526805,1,New York City,40.66918,-73.99187,Entire home/apt,130,20,127,102
100368,526105,1,New York City,40.74056,-74.00143,Entire home/apt,196,30,342,32
102995,178043,1,New York City,40.78558,-73.9696,Entire home/apt,212,21,67,45
103161,465278,1,New York City,40.71577,-73.96053,Entire home/apt,145,10,365,133
103311,417504,27,New York City,40.73778,-73.95366,Private room,599,3,238,9
105469,547386,2,New York City,40.58615,-73.81245,Private room,70,2,193,16
105510,322716,1,New York City,40.67086,-73.94872,Entire home/apt,68,14,165,18
106363,551055,1,New York City,40.82773,-73.95231,Private room,80,5,336,417
106647,552679,1,New York City,40.68505,-73.95684,Entire home/apt,125,6,291,97
107630,306739,3,New York City,40.72911,-73.95493,Entire home/apt,175,3,344,272
107895,3088389,1,New York City,40.77944,-73.98567,Entire home/apt,120,30,317,59
110739,568568,1,New York City,40.74503,-73.98876,Entire home/apt,110,14,262,58
112100,572527,1,New York City,40.67539,-73.96093,Entire home/apt,165,7,7,3
112359,571952,1,New York City,40.78491,-73.9508,Entire home/apt,225,2,365,58
112435,181376,2,New York City,40.69088,-73.97307,Private room,95,2,365,177
113092,575906,1,New York City,40.6905,-73.97867,Private room,90,1,205,0
113265,314582,2,New York City,40.67555,-73.95057,Private room,55,2,364,270
114123,579495,2,New York City,40.66527,-73.9886,Entire home/apt,259,30,131,34
114229,314941,5,New York City,40.71895,-73.99434,Entire home/apt,99,1,356,76
115748,585166,1,New York City,40.76434,-73.92132,Entire home/apt,60,4,327,32
116551,497672,1,New York City,40.80588,-73.94919,Entire home/apt,82,1,161,171
117425,593115,1,New York City,40.69263,-73.99438,Entire home/apt,120,5,268,99
118061,2248897,1,New York City,40.68448,-73.92747,Entire home/apt,110,4,219,85
121687,262812,1,New York City,40.72063,-73.95952,Entire home/apt,250,2,50,55
121861,611716,2,New York City,40.67644,-73.98082,Entire home/apt,165,2,212,23
123784,617990,2,New York City,40.80481,-73.94794,Entire home/apt,85,2,354,167
